EMPLOYEE_ID,FIRST_NAME,LAST_NAME,COUNTRY,GENDER,PHONE_NUMBER,HIRE_DATE,SALARY,DEPARTMENT
4759000,Neha,Jain,India,Female,650.127.1734,39428,2400,Supply Chain
4759001,Varun,Rao,India,Male,650.127.1634,39484,2200,Supply Chain
4759002,Theo,Hughes,UK,Male,650.121.1234,37816,3600,Supply Chain
4759003,Diya,Reddy,India,Female,650.121.2034,38651,3200,Supply Chain
4759004,Aaryan,Desai,India,Male,650.121.2019,38760,2700,Supply Chain
4759005,Neha,Shetty,India,Female,650.121.1834,38813,2500,Human Resources
4759006,Kavitha,Shetty,India,Female,650.121.8009,37911,3500,Human Resources
4759007,Mia,Adams,UK,Female,650.121.2994,38381,3100,Supply Chain
4759008,Evie,Edwards,UK,Female,650.121.2874,38791,2600,Supply Chain
4759009,Vikram,Joshi,India,Male,650.121.2004,38907,2500,Supply Chain
4759010,Clara,Webb,UK,Female,650.124.8235,38261,14000,Customer Service and Support
4759011,Lottie,Ellis,UK,Female,650.127.1534,38357,13500,Customer Service and Support
4759012,Ruby,Scott,UK,Female,650.127.1434,38421,12000,Customer Service and Support
4759013,Georgia,Mason,UK,Female,650.127.1334,39370,11000,Customer Service and Support
4759014,Anushka,Chatterjee,India,Female,650.127.1234,39476,10500,Customer Service and Support
4759015,Eshan,Mohan,India,Male,650.121.1234,38382,10000,Customer Service and Support
4759016,Lucy,Ford,UK,Female,650.121.2034,38435,9500,Customer Service and Support
4759017,Kavitha,Krishnan,India,Female,650.121.2019,38584,9000,Customer Service and Support
4759018,Alice,Lewis,UK,Female,650.121.1834,38806,8000,Customer Service and Support
4759019,Manan,Iyer,India,Male,650.121.8009,39060,7500,Customer Service and Support
4759020,James,White,UK,Male,650.121.2994,39409,7000,Customer Service and Support
4759021,Sanjay,Ramesh,India,Male,650.121.2874,38016,10000,Customer Service and Support
4759022,Leo,King,UK,Male,650.121.2004,38050,9500,Customer Service and Support
4759023,Krishna,Ghosh,India,Male,650.124.8236,38200,9000,Customer Service and Support
4759024,Ananya,Iyer,India,Female,650.127.1134,38421,8000,Customer Service and Support
4759025,Vanya,Deshmukh,India,Female,650.127.1034,38701,7500,Customer Service and Support
4759026,Erin,Knight,UK,Female,650.127.934,39024,7000,Customer Service and Support
4759027,Yash,Desai,India,Male,650.127.834,38667,10500,Customer Service and Support
4759028,Felicity,Clarke,UK,Female,650.121.1234,39160,9500,Customer Service and Support
4759029,Milly,Moore,UK,Female,650.121.2034,39471,7200,Customer Service and Support
4759030,Tabitha,Carter,UK,Female,650.121.2019,39501,6800,Customer Service and Support
4759031,Layla,Bailey,UK,Female,650.121.1834,39531,6400,Customer Service and Support
4759032,Rohan,Das,India,Male,650.121.8009,39559,6200,Customer Service and Support
4759033,Madeline,Wood,UK,Female,650.121.2994,38422,11500,Customer Service and Support
4759034,Molly,Fox,UK,Female,650.121.2874,38799,10000,Customer Service and Support
4759035,Yash,Ghosh,India,Male,650.121.2004,38741,9600,Customer Service and Support
4759036,Ria,Prakash,India,Female,650.124.8237,39136,7400,Customer Service and Support
4759037,Parth,Batra,India,Male,650.127.734,39165,7300,Customer Service and Support
4759038,Florence,Jenkins,UK,Female,650.127.634,39559,6100,Customer Service and Support
4759039,Shreya,Banerjee,India,Female,650.127.534,38118,11000,Customer Service and Support
4759040,Bethany,Wilson,UK,Female,650.127.434,38430,8800,IT
4759041,Poppy,Hughes,UK,Female,650.121.1234,38800,8600,IT
4759042,Kunal,Verma,India,Male,650.121.2034,38830,8400,IT
4759043,Anjali,Kapoor,India,Female,650.121.2019,39226,7000,Customer Service and Support
4759044,Thomas,Allen,UK,Male,650.121.1834,39451,6200,Customer Service and Support
4759045,Sahil,Kulkarni,India,Male,650.507.9876,38741,3200,Supply Chain
4759046,Scarlett,Turner,UK,Female,650.507.9877,38771,3100,Supply Chain
4759047,Raghav,Chaudhary,India,Male,650.507.9878,39254,2500,Supply Chain
4759048,Amelia,Brown,UK,Female,650.507.9879,39481,2800,Supply Chain
4759049,Aarush,Verma,India,Male,650.509.1876,38013,4200,Supply Chain
4759050,Veer,Malhotra,India,Male,650.509.2876,38403,4100,Supply Chain
4759051,Zoe,Reed,UK,Female,650.509.3876,38892,3400,Supply Chain
4759052,Ava,Morgan,UK,Female,650.509.4876,39120,3000,Human Resources
4759053,Aditi,Sharma,India,Female,650.505.1876,38517,3800,Human Resources
4759054,Freya,Green,UK,Female,650.505.2876,38577,3600,Supply Chain
4759055,Grace,Bell,UK,Female,650.505.3876,38909,2900,Supply Chain
4759056,Chloe,Brooks,UK,Female,650.505.4876,39435,2500,Supply Chain
4759057,Annabelle,Parker,UK,Female,650.501.1876,38021,4000,Supply Chain
4759058,Arlo,Fisher,UK,Male,650.501.2876,38414,3900,Supply Chain
4759059,Rohan,Reddy,India,Male,650.501.3876,38899,3200,Supply Chain
4759060,Aditya,Kapoor,India,Male,650.501.4876,39158,2800,Supply Chain
4759061,Ivy,Watson,UK,Female,650.507.9811,38831,3100,IT
4759062,Aryan,Sharma,India,Male,650.507.9822,38860,3000,IT
4759063,Holly,Carter,UK,Female,650.507.9833,39254,2600,IT
4759064,Shreya,Gupta,India,Female,650.507.9844,39460,2600,Supply Chain
4759065,Karan,Basu,India,Male,515.123.4444,37881,4400,Administration
4759066,Isla,Evans,UK,Female,515.123.5555,38034,13000,Marketing
4759067,Ada,Cook,UK,Female,603.123.6666,38581,6000,Marketing
4759068,Phoebe,Russell,UK,Female,515.123.7777,37414,6500,Human Resources
4759069,Aarushi,Saxena,India,Female,515.123.8888,37414,10000,Marketing
4759070,Eleanor,Bennett,UK,Female,515.123.8080,37414,12008,R&D
4759071,Aurora,Edwards,UK,Female,515.123.8181,37414,8300,R&D
4759072,Henry,Moore,UK,Male,515.123.6666,,9104,Customer Service and Support
4759073,Ishita,Mehta,India,Female,515.123.7777,,9047,Customer Service and Support
4759074,Divya,Iyer,India,Female,603.123.6667,,8991,Customer Service and Support
4759075,Tanvi,Krishnan,India,Female,515.123.7777,,8934,Customer Service and Support
4759076,Arjun,Acharya,India,Male,515.123.8888,,8878,Customer Service and Support
4759077,Amit,Bhattacharya,India,Male,515.123.8080,,8821,Customer Service and Support
4759078,Summer,Kelly,UK,Female,515.123.8181,,8765,IT
4759079,Esme,Watson,UK,Female,515.123.8888,,8709,IT
4759080,Noah,Davies,UK,Male,515.123.9999,,8652,IT
4759081,Elsie,Collins,UK,Female,603.123.6668,,8596,Customer Service and Support
4759082,Kavitha,Choudhary,India,Female,515.123.7777,,8539,Customer Service and Support
4759083,Pippa,Ross,UK,Female,515.123.8888,,8483,Supply Chain
4759084,Akshay,Rao,India,Male,515.123.8080,,8426,Supply Chain
4759085,George,Wilson,UK,Male,515.123.8181,,8370,Finance
4759086,Aditi,Kulkarni,India,Female,515.123.11110,,8313,Finance
4759087,Harriet,Hunt,UK,Female,515.123.12221,,8257,Finance
4759088,Suraj,Pillai,India,Male,603.123.6669,,8200,Finance
4759089,Aarav,Menon,India,Male,515.123.7777,,8144,Finance
4759090,Ishaan,Sethi,India,Male,515.123.8888,,8088,Supply Chain
4759091,Manan,Sharma,India,Male,515.123.8080,,8031,Supply Chain
4759092,Kavya,Ramesh,India,Female,515.123.8181,,7975,Supply Chain
4759093,Dhruv,Mishra,India,Male,515.123.13332,,7918,Finance
4759094,Omkar,Saxena,India,Male,515.123.14443,,7862,Finance
4759095,Rose,Griffin,UK,Female,603.123.6670,,7805,Finance
4759096,Arjun,Reddy,India,Male,515.123.7777,,7749,Administration
4759097,Harsh,Gupta,India,Male,515.123.8888,,7692,IT
4759098,Ananya,Balakrishnan,India,Female,515.123.8080,,7636,IT
4759099,Imogen,Ward,UK,Female,515.123.8181,,7579,IT
4759100,Harry,Johnson,UK,Male,515.123.15554,,7523,IT
4759101,Penelope,James,UK,Female,515.123.16665,,7466,IT
4759102,Lily,Wright,UK,Female,603.123.6671,,7410,Finance
4759103,Shruti,Malhotra,India,Female,515.123.7777,,7354,IT
4759104,Rohit,Mishra,India,Male,515.123.8888,,7297,IT
4759105,Arjun,Singh,India,Male,515.123.8080,,7241,IT
4759106,Annalise,Russell,UK,Female,515.123.8181,,7184,IT
4759107,Willow,Sanders,UK,Female,515.123.17776,,7128,IT
4759108,Nia,Roy,India,Female,515.123.18887,,7071,Finance
4759109,Kavitha,Das,India,Female,603.123.6672,,7015,IT
4759110,Kavya,Reddy,India,Female,515.123.7777,,6958,IT
4759111,Harriet,Bell,UK,Female,515.123.8888,,6902,IT
4759112,Isabella,Young,UK,Female,515.123.8080,,6845,IT
4759113,Daisy,Hunt,UK,Female,515.123.8181,,6789,IT
4759114,Bonnie,Fisher,UK,Female,515.123.19998,,6733,Finance
